Time,Brunei Darussalam,Indonesia,Malaysia,Myanmar,Philippines,Thailand,Vietnam,China,Hong Kong,Taiwan,Japan,South Korea,Bangladesh,India,Pakistan,Sri Lanka,Iran,Israel,Kuwait,Saudi Arabia,United Arab Emirates,Canada,USA,Belgium & Luxembourg,Denmark,Finland,France,Germany,Italy,Netherlands,Norway,Rep Of Ireland,Russian Federation,Spain,Sweden,Switzerland,United Kingdom,Australia,New Zealand,Egypt,Mauritius,South Africa (Rep Of),Other
  2025 Jan,4535,251768,102323,11793,49088,23423,26655,376474,25869,46126,40053,79300,12532,85398,1809,4463,390,2116,754,2381,5750,16854,70962,2634,3162,3613,12948,39376,6086,7685,2603,2673,10469,4376,4673,8283,56474,141336,14545,426,487,2942,67864
  2024 Dec,8439,266028,105622,14421,72161,30436,22642,193482,23487,20557,42999,42841,13440,103739,2109,6804,430,1494,530,1914,7869,12837,64841,2533,2415,2839,10945,31729,4828,6643,2130,1992,6109,4362,4024,7536,44650,122321,13038,238,1077,5336,56756
  2024 Nov,4500,194445,101919,11345,66942,26740,24350,174751,24541,23190,44327,39600,11092,92903,1569,4970,400,1877,352,3429,6699,14791,61005,2906,2577,2394,13671,26020,5112,7303,2075,2514,6235,5432,2892,7392,48607,92661,10351,364,802,1821,57828
  2024 Oct,3959,183714,103432,11801,61488,44447,27140,234528,25197,29237,51819,42088,12937,102229,1516,4837,385,2123,352,1597,7301,11402,50339,2865,2636,2470,14969,26180,5864,7381,1710,2137,3905,5487,2402,8051,43943,100935,14002,306,313,1970,53092
  2024 Sep,3968,173611,112150,9580,55975,27707,27636,217205,26627,30408,57825,44886,11473,87766,1459,5221,853,1779,598,1929,7831,9230,47493,3334,2219,1334,14774,23795,8001,7562,1597,2041,3475,7460,1574,6888,43032,110930,15792,267,320,2645,50424
  2024 Aug,5679,163910,79895,9851,60174,27966,43400,403137,35682,42282,81803,60986,11027,91805,1717,5767,521,1299,1957,3065,10764,10796,51082,4458,1988,832,26916,27501,29522,12682,1467,2028,3498,13721,1442,7359,47305,82959,14070,244,504,1902,54863
  2024 Jul,4401,209823,83067,12474,72589,32834,50619,412950,33769,49930,51162,57398,12236,89701,2818,4921,404,1321,1242,4544,11518,10894,65204,5327,3642,1271,21064,21118,7825,12275,3836,2458,3774,7998,2349,10243,42232,105660,18182,202,426,2177,54718
  2024 Jun,3711,200085,83558,12154,76120,25459,42327,217656,23831,34154,33936,39496,12594,120380,2020,5036,437,1138,1007,3589,6516,7987,61459,2252,1462,1610,11040,14014,4907,5114,2038,2108,2907,4259,1984,4513,28752,88043,14713,241,283,2554,42849
  2024 May,3857,189182,95621,13356,58311,32818,31215,222335,24044,28797,39077,39825,10959,156572,1309,5780,340,1303,217,1384,5435,11155,54520,2631,1736,1533,15066,24531,4473,7522,1213,1791,3654,3704,1457,6393,33195,79588,12808,281,372,1778,46022
  2024 Apr,4844,243892,106186,15985,53154,42507,30810,220435,26453,30309,32434,37346,11707,106715,956,6187,404,1447,313,1954,10518,11325,49741,2969,2398,2008,16785,27950,5149,7188,1763,1921,5216,3814,2123,8298,47507,96752,13052,153,582,1992,50077
  2024 Mar,4779,204970,120242,15327,100271,45975,35358,247658,35786,30344,54884,42064,8616,97027,824,4449,2207,1284,176,812,7311,12439,64440,2741,2972,2973,14035,39351,4868,6914,2417,2619,5608,4731,2911,7743,73518,90438,9008,175,346,2742,51512
  2024 Feb,4582,190713,100051,10682,55604,31089,31776,326900,26507,45705,45284,69112,8792,66149,1626,4111,506,1346,510,2003,4982,12948,60333,2444,3320,3277,17244,37724,5038,7294,2659,2344,7152,3659,3178,7967,68148,79386,8093,220,292,1621,55436
