Theme: Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Tourism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: International Visitor Arrivals (IVA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: International Visitor Arrivals By Inbound Tourism Markets, Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 24/02/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE TOURISM BOARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Series,Total International Visitor Arrivals By Inbound Tourism Markets (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Southeast Asia (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Southeast Asia -> Brunei Darussalam (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Southeast Asia -> Indonesia (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Southeast Asia -> Malaysia (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Southeast Asia -> Myanmar (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Southeast Asia -> Philippines (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Southeast Asia -> Thailand (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Southeast Asia -> Vietnam (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Southeast Asia -> Other Markets In Southeast Asia (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Greater China (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Greater China -> China (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Greater China -> Hong Kong SAR (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Greater China -> Taiwan (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Greater China -> Other Markets In Greater China (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> North Asia (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> North Asia -> Japan (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> North Asia -> South Korea (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> North Asia -> Other Markets In North Asia (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> South Asia (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> South Asia -> Bangladesh (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> South Asia -> India (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> South Asia -> Pakistan (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> South Asia -> Sri Lanka (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> South Asia -> Other Markets In South Asia (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> West Asia (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> West Asia -> Iran (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> West Asia -> Israel (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> West Asia -> Kuwait (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> West Asia -> Saudi Arabia (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> West Asia -> United Arab Emirates (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> West Asia -> Other Markets In West Asia (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Americas (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Americas -> Canada (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Americas -> USA (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Americas -> Other Markets In Americas (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Europe (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Europe -> Belgium & Luxembourg (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Europe -> Denmark (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Europe -> Finland (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Europe -> France (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Europe -> Germany (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Europe -> Italy (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Europe -> Netherlands (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Europe -> Norway (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Europe -> Rep Of Ireland (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Europe -> Russian Federation (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Europe -> Spain (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Europe -> Sweden (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Europe -> Switzerland (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Europe -> United Kingdom (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Europe -> Other Markets In Europe (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Oceania (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Oceania -> Australia (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Oceania -> New Zealand (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Oceania -> Other Markets In Oceania (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Africa (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Africa -> Egypt (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Africa -> Mauritius (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Africa -> South Africa (Rep Of) (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Africa -> Other Markets In Africa (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Others (Number),Others
  2025 Jan,1633471,476545,4535,251768,102323,11793,49088,23423,26655,6960,452734,376474,25869,46126,4265,119528,40053,79300,175,107443,12532,85398,1809,4463,3241,13666,390,2116,754,2381,5750,2275,97421,16854,70962,9605,200003,2634,3162,3613,12948,39376,6086,7685,2603,2673,10469,4376,4673,8283,56474,34948,159559,141336,14545,3678,6525,426,487,2942,2670,47,67864
  2024 Dec,1390631,528319,8439,266032,105622,14421,72162,30436,22642,8565,240769,193482,23487,20557,3243,85930,42999,42841,90,129413,13441,103739,2109,6804,3320,15103,430,1494,530,1914,7869,2866,84450,12838,64841,6771,155694,2533,2415,2839,10945,31729,4828,6643,2130,1992,6109,4362,4024,7536,44650,22959,139442,122321,13038,4083,11486,239,1077,5336,4834,25,56756
  2024 Nov,1234696,437875,4500,194445,101920,11345,66942,26740,24350,7633,224281,174751,24541,23190,1799,84039,44327,39600,112,113091,11092,92904,1569,4970,2556,15092,400,1877,352,3429,6699,2335,86005,14791,61005,10209,161891,2906,2577,2394,13671,26020,5112,7303,2075,2514,6235,5432,2892,7392,48607,26761,106727,92661,10351,3715,5659,364,802,1821,2672,36,57828
  2024 Oct,1314486,444033,3959,183714,103432,11801,61488,44447,27140,8052,290844,234528,25197,29237,1882,94009,51819,42088,102,125788,12937,102229,1516,4837,4269,14707,385,2123,352,1597,7301,2949,69879,11402,50339,8138,151359,2865,2636,2470,14969,26180,5864,7381,1710,2137,3905,5487,2402,8051,43943,21359,118509,100935,14002,3572,5324,306,313,1970,2735,34,53092
  2024 Sep,1270675,417348,3968,173611,112150,9580,55976,27707,27636,6720,275553,217205,26627,30408,1313,102800,57825,44886,89,108913,11473,87766,1459,5221,2994,15370,853,1779,598,1929,7831,2380,64689,9230,47493,7966,149577,3334,2219,1334,14774,23795,8001,7562,1597,2041,3475,7460,1574,6888,43032,22491,130165,110930,15792,3443,6192,267,320,2645,2960,68,50424
  2024 Aug,1539828,398577,5679,163910,79895,9852,60174,27966,43400,7701,484556,403138,35682,42282,3454,142900,81803,60986,111,113390,11027,91805,1717,5767,3074,21344,521,1299,1957,3065,10764,3738,67753,10796,51082,5875,204247,4458,1988,832,26916,27501,29522,12682,1467,2028,3498,13721,1442,7359,47305,23528,100001,82959,14070,2972,7027,244,504,1902,4377,33,54863
  2024 Jul,1602596,475242,4401,209823,83067,12474,72589,32834,50619,9435,500094,412950,33769,49930,3445,108672,51162,57398,112,112631,12236,89701,2818,4921,2955,23608,404,1321,1242,4544,11518,4579,82686,10894,65204,6588,166397,5327,3642,1271,21064,21118,7825,12275,3836,2458,3774,7998,2349,10243,42232,20985,126960,105660,18182,3118,6115,202,426,2177,3310,191,54718
  2024 Jun,1250293,450962,3711,200085,83558,12154,76120,25459,42327,7548,277314,217656,23831,34154,1673,73480,33936,39496,48,143130,12594,120380,2020,5036,3100,16007,437,1138,1007,3589,6516,3320,75896,7987,61459,6450,101854,2252,1462,1610,11040,14014,4907,5114,2038,2108,2907,4259,1984,4513,28752,14894,105433,88043,14713,2677,5411,241,283,2554,2333,806,42849
  2024 May,1277160,431069,3857,189182,95621,13356,58311,32818,31215,6709,276637,222335,24044,28797,1461,78968,39077,39825,66,178227,10959,156572,1309,5780,3607,10769,340,1303,217,1384,5435,2090,73351,11155,54520,7676,125674,2631,1736,1533,15066,24531,4473,7522,1213,1791,3654,3704,1457,6393,33195,16775,95393,79588,12808,2997,6636,281,372,1778,4205,436,46022
  2024 Apr,1343319,506437,4844,243892,106186,15985,53154,42507,30810,9059,278900,220435,26453,30309,1703,69859,32434,37346,79,128285,11707,106715,956,6187,2720,17470,404,1447,313,1954,10518,2834,69011,11325,49741,7945,155963,2969,2398,2008,16785,27950,5149,7188,1763,1921,5216,3814,2123,8298,47507,20874,112497,96752,13052,2693,4857,153,582,1992,2130,40,50077
  2024 Mar,1464865,534123,4779,204970,120242,15327,100271,45975,35358,7201,315946,247658,35786,30344,2158,97048,54884,42064,100,113228,8616,97027,824,4449,2312,13591,2207,1284,176,812,7311,1801,85431,12439,64440,8552,198083,2741,2972,2973,14035,39351,4868,6914,2417,2619,5608,4731,2911,7743,73518,24682,102173,90438,9008,2727,5176,175,346,2742,1913,66,51512
  2024 Feb,1417807,430395,4582,190713,100051,10682,55604,31089,31776,5898,401348,326900,26507,45705,2236,114583,45284,69112,187,83642,8792,66149,1626,4111,2964,11498,506,1346,510,2003,4982,2151,81002,12948,60333,7721,201201,2444,3320,3277,17244,37724,5038,7294,2659,2344,7152,3659,3178,7967,68148,29753,90105,79386,8093,2626,3976,220,292,1621,1843,57,55436
  2024 Jan,1419956,486141,5215,268958,93381,12361,46287,27194,25911,6834,276899,211178,23419,38454,3848,117148,37684,79254,210,102934,10332,82113,1411,5586,3492,11377,409,1075,955,2079,4759,2100,84243,12878,62008,9357,191737,2302,2986,3490,12945,40120,5573,7685,2128,2218,9466,3992,3658,7463,59068,28643,143332,124104,14418,4810,6104,279,548,3197,2080,41,61415
  2023 Dec,1231565,495668,9281,244322,102683,13146,62866,29987,24680,8703,176872,130156,26440,17394,2882,71445,32124,39198,123,114964,11743,92620,1629,5975,2997,12730,427,693,512,1568,7156,2374,83791,10998,65946,6847,138310,1912,2042,1957,10010,25476,4237,6723,1732,1612,5523,3531,2846,6704,46184,17821,128877,112197,12717,3963,8874,188,965,4221,3500,34,49244
  2023 Nov,1100459,418065,4799,184281,93414,11774,61213,26808,27484,8292,150216,104347,22646,21575,1648,84154,41412,42614,128,109957,10118,90231,1404,5048,3156,10698,560,592,269,2652,5120,1505,80020,13173,58805,8042,141356,2469,2276,2236,12002,26528,4119,7110,1954,2042,4695,4098,2589,6817,43195,19226,100963,88201,9663,3099,4995,269,769,1789,2168,35,47299
  2023 Oct,1125964,434927,4390,180884,88643,11360,54649,53442,32730,8829,177880,122765,25108,28466,1541,83818,38073,45621,124,114672,10721,94334,1484,4487,3646,11379,521,1029,473,1764,5534,2058,60726,9006,44140,7580,132680,2371,2636,2059,13088,24581,4058,7363,1776,1776,3952,4717,2273,7121,36194,18715,104603,88033,13059,3511,5233,265,349,1833,2786,46,48836
