YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-12,WEEKENDS/HOLIDAY,19,TRAIN,CC11,8269,6819
2024-12,WEEKDAY,14,TRAIN,TE29,2239,2628
2024-12,WEEKDAY,15,TRAIN,SW3,1733,1989
2024-12,WEEKENDS/HOLIDAY,0,TRAIN,TE1,11,438
2024-12,WEEKENDS/HOLIDAY,11,TRAIN,CG2,9888,16857
2024-12,WEEKDAY,20,TRAIN,PW3,738,2706
2024-12,WEEKENDS/HOLIDAY,7,TRAIN,EW2/DT32,14330,10623
2024-12,WEEKENDS/HOLIDAY,11,TRAIN,SW8,1223,674
2024-12,WEEKENDS/HOLIDAY,16,TRAIN,EW5,16860,19017
2024-12,WEEKDAY,16,TRAIN,NS25/EW13,60472,48605
2024-12,WEEKENDS/HOLIDAY,11,TRAIN,TE7,3566,2113
2024-12,WEEKDAY,19,TRAIN,SW7,1939,4939
2024-12,WEEKDAY,17,TRAIN,PE1,3918,4991
2024-12,WEEKENDS/HOLIDAY,5,TRAIN,DT2,48,1
2024-12,WEEKDAY,5,TRAIN,NE9,3331,13
2024-12,WEEKDAY,17,TRAIN,SW2,6486,7708
2024-12,WEEKENDS/HOLIDAY,8,TRAIN,TE4,1845,2224
2024-12,WEEKENDS/HOLIDAY,7,TRAIN,DT2,601,475
2024-12,WEEKENDS/HOLIDAY,0,TRAIN,TE3,36,844
2024-12,WEEKDAY,19,TRAIN,TE5,5529,9690
2024-12,WEEKDAY,11,TRAIN,DT25,3357,1976
2024-12,WEEKENDS/HOLIDAY,7,TRAIN,PE2,1854,359
2024-12,WEEKENDS/HOLIDAY,12,TRAIN,BP4,877,627
2024-12,WEEKENDS/HOLIDAY,17,TRAIN,CC21,5389,5712
2024-12,WEEKDAY,8,TRAIN,NS21/DT11,93611,111221
2024-12,WEEKENDS/HOLIDAY,9,TRAIN,EW24/NS1,15120,25454
2024-12,WEEKENDS/HOLIDAY,0,TRAIN,NE17/PTC,371,2220
2024-12,WEEKDAY,0,TRAIN,NS12,656,3339
2024-12,WEEKENDS/HOLIDAY,0,TRAIN,DT5,72,823
2024-12,WEEKENDS/HOLIDAY,11,TRAIN,NS8,9854,5702
2024-12,WEEKENDS/HOLIDAY,20,TRAIN,TE8,4462,3888
2024-12,WEEKDAY,6,TRAIN,PE7,4542,1023
2024-12,WEEKDAY,11,TRAIN,SW3,2708,1334
2024-12,WEEKDAY,9,TRAIN,BP10,4323,2337
2024-12,WEEKDAY,12,TRAIN,EW25,8414,5795
2024-12,WEEKDAY,23,TRAIN,EW33,318,969
2024-12,WEEKDAY,5,TRAIN,NS9/TE2,21734,9228
2024-12,WEEKDAY,5,TRAIN,EW22,398,716
2024-12,WEEKDAY,8,TRAIN,TE12,5314,19121
2024-12,WEEKDAY,11,TRAIN,NS24/NE6/CC1,21433,38852
2024-12,WEEKENDS/HOLIDAY,23,TRAIN,TE12,433,273
2024-12,WEEKDAY,14,TRAIN,CC3,7629,6935
2024-12,WEEKDAY,10,TRAIN,EW25,9854,4907
2024-12,WEEKENDS/HOLIDAY,19,TRAIN,PW7,1394,1926
2024-12,WEEKDAY,22,TRAIN,NS23,61355,10675
2024-12,WEEKENDS/HOLIDAY,21,TRAIN,CC5,1901,1821
2024-12,WEEKDAY,19,TRAIN,NS18,15387,23574
2024-12,WEEKDAY,15,TRAIN,NS5,20347,23432
2024-12,WEEKENDS/HOLIDAY,17,TRAIN,EW11,11950,10748
2024-12,WEEKDAY,19,TRAIN,BP9,1715,3851
2024-12,WEEKDAY,8,TRAIN,CC19/DT9,9175,11091
2024-12,WEEKENDS/HOLIDAY,15,TRAIN,PE5,2381,2221
2024-12,WEEKENDS/HOLIDAY,6,TRAIN,SE4,846,289
2024-12,WEEKENDS/HOLIDAY,22,TRAIN,DT28,1240,7288
2024-12,WEEKENDS/HOLIDAY,19,TRAIN,CC19/DT9,4079,2756
2024-12,WEEKENDS/HOLIDAY,19,TRAIN,NE1/CC29,49106,23295
2024-12,WEEKENDS/HOLIDAY,11,TRAIN,TE24,1910,1099
2024-12,WEEKDAY,12,TRAIN,EW11,18663,17272
2024-12,WEEKDAY,7,TRAIN,BP13,3881,687
2024-12,WEEKDAY,21,TRAIN,EW33,2266,4834
2024-12,WEEKDAY,13,TRAIN,NS15,17190,14189
2024-12,WEEKDAY,15,TRAIN,CC6,7377,8932
2024-12,WEEKENDS/HOLIDAY,15,TRAIN,SW8,799,814
2024-12,WEEKDAY,19,TRAIN,DT27,14479,13772
2024-12,WEEKENDS/HOLIDAY,17,TRAIN,EW31,5822,1424
2024-12,WEEKENDS/HOLIDAY,13,TRAIN,EW8/CC9,32991,33923
2024-12,WEEKDAY,8,TRAIN,CC21,12003,10802
2024-12,WEEKENDS/HOLIDAY,10,TRAIN,EW15,5763,12886
